ticker,name,sector
AAPL,Apple Inc.,Technology
ABNB,"Airbnb, Inc.",Consumer Cyclical
ADBE,Adobe Inc.,Technology
ADI,"Analog Devices, Inc.",Technology
ADP,"Automatic Data Processing, Inc.",Technology
ADSK,"Autodesk, Inc.",Technology
AEP,"American Electric Power Company, Inc.",Utilities
AMAT,"Applied Materials, Inc.",Technology
AMD,"Advanced Micro Devices, Inc.",Technology
AMGN,Amgen Inc.,Healthcare
AMZN,"Amazon.com, Inc.",Consumer Cyclical
ANSS,"ANSYS, Inc.",Technology
APP,AppLovin Corporation,Technology
ARM,Arm Holdings plc,Technology
ASML,ASML Holding N.V.,Technology
AVGO,Broadcom Inc.,Technology
AXON,"Axon Enterprise, Inc.",Industrials
AZN,AstraZeneca PLC,Healthcare
BIIB,Biogen Inc.,Healthcare
BKNG,Booking Holdings Inc.,Consumer Cyclical
BKR,Baker Hughes Company,Energy
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive
CDNS,"Cadence Design Systems, Inc.",Technology
CDW,CDW Corporation,Technology
CEG,Constellation Energy Corporation,Utilities
CHTR,"Charter Communications, Inc.",Communication Services
CMCSA,Comcast Corporation,Communication Services
COST,Costco Wholesale Corporation,Consumer Defensive
CPRT,"Copart, Inc.",Industrials
CRWD,"CrowdStrike Holdings, Inc.",Technology
CSCO,"Cisco Systems, Inc.",Technology
CSGP,"CoStar Group, Inc.",Real Estate
CSX,CSX Corporation,Industrials
CTAS,Cintas Corporation,Industrials
CTSH,Cognizant Technology Solutions Corporation,Technology
DASH,"DoorDash, Inc.",Communication Services
DDOG,"Datadog, Inc.",Technology
DXCM,"DexCom, Inc.",Healthcare
EA,Electronic Arts Inc.,Communication Services
EXC,Exelon Corporation,Utilities
FANG,"Diamondback Energy, Inc.",Energy
FAST,Fastenal Company,Industrials
FTNT,"Fortinet, Inc.",Technology
GEHC,GE HealthCare Technologies Inc.,Healthcare
GFS,GLOBALFOUNDRIES Inc.,Technology
GILD,"Gilead Sciences, Inc.",Healthcare
GOOG,Alphabet Inc.,Communication Services
GOOGL,Alphabet Inc.,Communication Services
HON,Honeywell International Inc.,Industrials
IDXX,"IDEXX Laboratories, Inc.",Healthcare
INTC,Intel Corporation,Technology
INTU,Intuit Inc.,Technology
ISRG,"Intuitive Surgical, Inc.",Healthcare
KDP,Keurig Dr Pepper Inc.,Consumer Defensive
KHC,The Kraft Heinz Company,Consumer Defensive
KLAC,KLA Corporation,Technology
LIN,Linde plc,Basic Materials
LRCX,Lam Research Corporation,Technology
LULU,Lululemon Athletica Inc.,Consumer Cyclical
MAR,"Marriott International, Inc.",Consumer Cyclical
MCHP,Microchip Technology Incorporated,Technology
MDB,"MongoDB, Inc.",Technology
MDLZ,"Mondelez International, Inc.",Consumer Defensive
MELI,"MercadoLibre, Inc.",Consumer Cyclical
META,"Meta Platforms, Inc.",Communication Services
MNST,Monster Beverage Corporation,Consumer Defensive
MRVL,"Marvell Technology, Inc.",Technology
MSFT,Microsoft Corporation,Technology
MSTR,MicroStrategy Incorporated,Technology
MU,"Micron Technology, Inc.",Technology
NFLX,"Netflix, Inc.",Communication Services
NVDA,NVIDIA Corporation,Technology
NXPI,NXP Semiconductors N.V.,Technology
ODFL,"Old Dominion Freight Line, Inc.",Industrials
ON,ON Semiconductor Corporation,Technology
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical
PANW,"Palo Alto Networks, Inc.",Technology
PAYX,"Paychex, Inc.",Technology
PCAR,PACCAR Inc,Industrials
PDD,PDD Holdings Inc.,Consumer Cyclical
PEP,"PepsiCo, Inc.",Consumer Defensive
PLTR,Palantir Technologies Inc.,Technology
PYPL,"PayPal Holdings, Inc.",Financial Services
QCOM,QUALCOMM Incorporated,Technology
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare
ROP,"Roper Technologies, Inc.",Technology
ROST,"Ross Stores, Inc.",Consumer Cyclical
SBUX,Starbucks Corporation,Consumer Cyclical
SNPS,"Synopsys, Inc.",Technology
TEAM,Atlassian Corporation,Technology
TMUS,"T-Mobile US, Inc.",Communication Services
TSLA,"Tesla, Inc.",Consumer Cyclical
TTD,"The Trade Desk, Inc.",Technology
TTWO,"Take-Two Interactive Software, Inc.",Communication Services
TXN,Texas Instruments Incorporated,Technology
VRSK,"Verisk Analytics, Inc.",Industrials
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare
WBD,"Warner Bros. Discovery, Inc.",Communication Services
WDAY,"Workday, Inc.",Technology
XEL,Xcel Energy Inc.,Utilities
ZS,"Zscaler, Inc.",Technology
